排名,单词,词频,梯队,释义,分类,子分类,真题搭配,其他拼写,备注
876,character,187,核心高频,性格,人类与社会,,,,
877,crisis,187,核心高频,危机,政治法律,,,,
878,dollar,187,核心高频,美元,商业经济,,,,
879,green,187,核心高频,绿的、未熟的,交通旅行,,,,
880,immigrant,186,核心高频,移民,人类与社会,,,,
881,contact,186,核心高频,联系,动作行为,身体动作,,,
882,cold,186,核心高频,冷的,健康医疗,,,,
883,reality,185,核心高频,现实、真实的事物,抽象概念,认知与抽象名词,,,
884,department,185,核心高频,部门,政治法律,,,,
885,comment,184,核心高频,评论,动作行为,评价与判断,,,
886,board,184,核心高频,板,日常生活,,,,
887,consequence,184,核心高频,后果、结果,抽象概念,认知与抽象名词,,,
888,style,184,核心高频,风格,文化宗教,,,,
889,fight,184,核心高频,打斗,动作行为,身体动作,,,
890,advice,184,核心高频,建议,情感心理,,,,
891,meal,184,核心高频,饭,食物营养,,,,
892,worry,184,核心高频,担心,动作行为,其他动作,,,
893,tool,182,核心高频,工具,科学技术,,,,
894,waste,182,核心高频,浪费,动作行为,占有与转移,,,
895,predict,181,核心高频,预测,动作行为,其他动作,,,
896,despite,181,核心高频,尽管,抽象概念,逻辑与关系,,,
897,morning,181,核心高频,早晨,时间日期,,,,
898,operation,180,核心高频,运营、操作,科学技术,,,,
899,industrial,179,核心高频,工业的,商业经济,,,,
900,stage,179,核心高频,阶段,空间地点,,,,
901,kill,179,核心高频,杀,动作行为,使动与影响,,,
902,specific,178,核心高频,具体的、详细的,抽象概念,性质与评价,,,
903,highly,178,核心高频,高度地,抽象概念,数量与程度,,,
904,purchase,178,核心高频,购买,商业经济,,,,
905,director,178,核心高频,指挥者,职业工作,,,,
906,significant,177,核心高频,有意义的、重要的,抽象概念,性质与评价,,,
907,feeling,177,核心高频,感受,情感心理,,,,
908,replace,177,核心高频,替代,动作行为,其他动作,,,
909,yourself,177,核心高频,你自己、你亲自,人类与社会,,,,
910,print,177,核心高频,打印,科学技术,,,,
911,shape,177,核心高频,形状,动作行为,身体动作,,,
912,thirty,177,核心高频,三十,时间日期,,,,
913,ground,176,核心高频,地面、场所,空间地点,,,,
914,screen,176,核心高频,屏幕,日常生活,,,,
915,struggle,175,核心高频,斗争、奋斗,动作行为,其他动作,,,
916,lay,175,核心高频,放置、躺、位于、说谎,动作行为,其他动作,,,
917,sea,175,核心高频,大海,自然环境,,,,
918,forget,174,核心高频,忘记,动作行为,心理活动,,,
919,expand,174,核心高频,扩大,动作行为,使动与影响,,,
920,cross,174,核心高频,跨过、穿过,动作行为,身体动作,,,
921,multiple,174,核心高频,多种多样的、倍数,抽象概念,性质与评价,,,
922,wife,174,核心高频,妻子,人类与社会,,,,
923,intellectual,173,核心高频,知识分子、知识的,教育学习,,,,
924,fund,173,核心高频,资金,商业经济,,,,
925,conduct,173,核心高频,实施、开展,动作行为,身体动作,,,
926,direct,173,核心高频,径直的、直接的,动作行为,社交交互,,,
927,ensure,173,核心高频,确保,动作行为,使动与影响,,,
928,safety,173,核心高频,安全,健康医疗,,,,
929,region,173,核心高频,地区,空间地点,,,,
930,tourist,173,核心高频,旅行者,交通旅行,,,,
931,legal,172,核心高频,法律的、合法的,政治法律,,,,
932,link,172,核心高频,连接,动作行为,身体动作,,,
933,reflect,172,核心高频,反射、反映、思考,动作行为,身体动作,reflect on,,
934,aim,172,核心高频,目标,动作行为,其他动作,,,
935,husband,172,核心高频,丈夫,人类与社会,,,,
936,underline,171,核心高频,下划线、强调,动作行为,其他动作,,,
937,worth,171,核心高频,值得,抽象概念,认知与抽象名词,,,
938,freedom,170,核心高频,自由,政治法律,,,,
939,suppose,170,核心高频,假设,动作行为,心理活动,,,
940,reveal,170,核心高频,显露、展现,动作行为,社交交互,reveal that…,,
941,poverty,170,核心高频,贫穷,商业经济,,,,
942,advance,169,核心高频,前进、提高,动作行为,身体动作,,,
943,south,169,核心高频,南、南方的,空间地点,,,,
944,smoke,169,核心高频,烟,自然环境,,,,
945,practical,169,核心高频,实际的,抽象概念,性质与评价,,,
946,male,168,核心高频,男性、男性的,人类与社会,,,,
947,commercial,168,核心高频,商业的,商业经济,,,,
948,peer,168,核心高频,凝视、同伴、贵族,人类与社会,,,,
949,attack,168,核心高频,攻击,动作行为,身体动作,,,
950,holiday,168,核心高频,假日,时间日期,,,,
951,limited,167,核心高频,有限的、有限责任的,抽象概念,性质与评价,,,
952,push,167,核心高频,推,动作行为,身体动作,,,
953,twenty,167,核心高频,二十,时间日期,,,,
954,police,167,核心高频,警察,政治法律,,,,
955,film,167,核心高频,电影,运动娱乐,,,,
956,review,166,核心高频,复习、回顾、评论,动作行为,评价与判断,,,
957,attempt,166,核心高频,试图、企图,动作行为,身体动作,,,
958,wealth,166,核心高频,财富,商业经济,,,,
959,associate,166,核心高频,联系、结交,动作行为,心理活动,,,
960,prefer,166,核心高频,偏好,动作行为,其他动作,,,
961,title,165,核心高频,标题,教育学习,,,,
962,creative,165,核心高频,有创造力的,情感心理,,,,
963,trust,164,核心高频,信任,动作行为,身体动作,,,
964,ill,163,核心高频,有病的、坏的,健康医疗,,,,
965,box,163,核心高频,盒子,日常生活,,,,
966,cry,163,核心高频,哭泣,动作行为,身体动作,,,
967,hardly,162,核心高频,几乎不、仅仅,抽象概念,数量与程度,,,
968,responsible,162,核心高频,应负责的、可靠的,情感心理,,,,
969,track,162,核心高频,追踪、足迹、痕迹,动作行为,身体动作,,,
970,warn,162,核心高频,警告,动作行为,社交交互,,,
971,total,162,核心高频,总共的,抽象概念,数量与程度,,,
972,derive,162,核心高频,取得,动作行为,占有与转移,,,
973,china,162,核心高频,瓷器,日常生活,,,,
974,textbook,162,核心高频,课本,教育学习,,,,
975,extra,161,核心高频,额外的,抽象概念,数量与程度,,,
976,electronic,161,核心高频,电子的,科学技术,,,,
977,ignore,161,核心高频,忽视,动作行为,其他动作,,,
978,survive,161,核心高频,幸存,动作行为,其他动作,,,
979,bird,161,核心高频,鸟,自然环境,,,,
980,heavy,161,核心高频,重的,抽象概念,性质与评价,,,
981,fuel,160,核心高频,燃料,科学技术,,,,
982,magazine,160,核心高频,杂志,教育学习,,,,
983,summer,160,核心高频,夏天、夏季的,时间日期,,,,
984,complex,159,核心高频,复杂的,抽象概念,性质与评价,an inferiority complex,,
985,danger,159,核心高频,危险,健康医疗,,,,
986,piece,159,核心高频,（一）件、碎片,日常生活,,,,
987,option,159,核心高频,选项,抽象概念,认知与抽象名词,,,
988,throughout,159,核心高频,遍及、到处,空间地点,,,,
989,library,159,核心高频,图书馆,教育学习,,,,
990,mention,158,核心高频,提及,动作行为,身体动作,,,
991,institution,158,核心高频,机构,政治法律,,,,
992,appeal,157,核心高频,呼吁、吸引,动作行为,身体动作,,,
993,background,157,核心高频,背景,人类与社会,,,,
994,colleague,157,核心高频,同事,职业工作,,,,
995,intend,156,核心高频,想要（做某事）,动作行为,身体动作,,,
996,strategy,156,核心高频,策略,政治法律,,,,
997,paint,156,核心高频,绘画,运动娱乐,,,,
998,exact,156,核心高频,确切的、特定的,抽象概念,性质与评价,,,
999,journal,155,核心高频,日记,教育学习,,,,
1000,grant,155,核心高频,同意、授予,动作行为,身体动作,,,
1001,factory,155,核心高频,工厂,商业经济,,,,
1002,authority,155,核心高频,权力、权威人士,政治法律,,,,
1003,association,155,核心高频,协会,文化宗教,,,,
1004,tree,155,核心高频,树、爬上树,自然环境,,,,
1005,arrive,155,核心高频,到、达到,动作行为,起始与终止,,,
1006,ready,155,核心高频,准备好的,抽象概念,性质与评价,,,
1007,cheap,155,核心高频,便宜的、不值钱的,商业经济,,,,
1008,patent,154,核心高频,专利、专利的,科学技术,,,,
1009,flight,154,核心高频,航班,交通旅行,,,,
1010,spread,154,核心高频,传播,动作行为,身体动作,,,
1011,expense,154,核心高频,花费,商业经济,,,,
1012,famous,154,核心高频,有名的,情感心理,,,,
1013,indeed,153,核心高频,确实,抽象概念,数量与程度,,,
1014,establish,153,核心高频,建立、查实,动作行为,身体动作,establish a link between,,
1015,observe,153,核心高频,观察,动作行为,心理活动,observe the rules,,
1016,chief,153,核心高频,首领、主要的,职业工作,,,,
1017,safe,153,核心高频,安全的,健康医疗,,,,
1018,nor,153,核心高频,也不,抽象概念,逻辑与关系,,,
1019,foot,153,核心高频,脚、走,人类与社会,,,,
1020,debate,152,核心高频,讨论,政治法律,,,,
1021,agency,152,核心高频,机构,商业经济,,,,
1022,educate,152,核心高频,教育,动作行为,社交交互,,,
1023,compete,152,核心高频,竞争,动作行为,社交交互,,,
1024,wish,152,核心高频,希望,动作行为,身体动作,,,
1025,staff,152,核心高频,员工,职业工作,,,,
1026,adapt,151,核心高频,改编、适应,动作行为,身体动作,,,
1027,boss,151,核心高频,老板,职业工作,,,,
1028,unless,150,核心高频,除非,抽象概念,逻辑与关系,,,
1029,unemployment,150,核心高频,失业,商业经济,,,,
1030,fix,150,核心高频,固定、修理,动作行为,身体动作,,,
1031,scale,149,核心高频,规模、刻度、天平,抽象概念,认知与抽象名词,,,
1032,possibility,149,核心高频,可能、可能的事,抽象概念,认知与抽象名词,,,
1033,application,149,核心高频,应用、申请,教育学习,,,,
1034,participant,149,核心高频,参与者,人类与社会,,,,
1035,union,148,核心高频,一致、联合,政治法律,,,,
1036,threat,148,核心高频,威胁,动作行为,社交交互,,,
1037,emotion,148,核心高频,情感,情感心理,,,,
1038,western,148,核心高频,西方的,空间地点,,,,
1039,marriage,148,核心高频,结婚、结婚仪式,人类与社会,,,,
1040,capacity,147,核心高频,容量、能力、生产力,抽象概念,认知与抽象名词,,,
1041,score,147,核心高频,分数,动作行为,其他动作,,,
1042,obvious,147,核心高频,明显的,抽象概念,性质与评价,,,
1043,relation,147,核心高频,关系,人类与社会,,,,
1044,lesson,147,核心高频,课、教训,教育学习,,,,
1045,passenger,147,核心高频,乘客,交通旅行,,,,
1046,represent,147,核心高频,代表,动作行为,身体动作,,,
1047,mile,147,核心高频,英里,科学技术,,,,
1048,regular,147,核心高频,定期的、常规的,抽象概念,性质与评价,,,
1049,adopt,147,核心高频,采用、收养,动作行为,其他动作,,,
1050,voice,147,核心高频,声音,动作行为,社交交互,,,
1051,movie,147,核心高频,电影,运动娱乐,,,,
1052,characteristic,146,核心高频,特征、独有的,抽象概念,认知与抽象名词,,,
1053,join,146,核心高频,参加,动作行为,使动与影响,,,
1054,operate,146,核心高频,运转、动手术,动作行为,身体动作,,,
1055,pollution,146,核心高频,污染,自然环境,,,,
1056,discuss,146,核心高频,讨论,动作行为,社交交互,,,
1057,extend,145,核心高频,延伸、延展,动作行为,身体动作,,,
1058,appropriate,145,核心高频,恰当的,抽象概念,性质与评价,,,
1059,match,145,核心高频,比赛、匹配,动作行为,身体动作,,,
1060,date,145,核心高频,日期,时间日期,,,,
1061,ancient,145,核心高频,古老的,时间日期,,,,
1062,majority,144,核心高频,多数、半数以上,抽象概念,数量与程度,,,
1063,wonder,144,核心高频,好奇、奇观,动作行为,心理活动,,,
1064,forest,144,核心高频,森林,自然环境,,,,
1065,unique,144,核心高频,独特的,抽象概念,性质与评价,,,
1066,finding,144,核心高频,发现、调查结果,抽象概念,认知与抽象名词,,,
1067,gas,144,核心高频,气体、天然气,科学技术,,,,
1068,separate,144,核心高频,分开,动作行为,变化趋势,,,
1069,audience,144,核心高频,观众,文化宗教,,,,
1070,station,144,核心高频,车站,空间地点,,,,
1071,carbon,143,核心高频,碳、复写纸,科学技术,,,,
1072,female,143,核心高频,女性、雌性,人类与社会,,,,
1073,conclude,143,核心高频,总结,动作行为,起始与终止,,,
1074,employ,143,核心高频,雇佣、采用,动作行为,使动与影响,,,
1075,conclusion,143,核心高频,总结,抽象概念,认知与抽象名词,,,
1076,moral,142,核心高频,道德的,情感心理,,,,
1077,expression,142,核心高频,表达、措词,抽象概念,认知与抽象名词,,,
1078,wall,142,核心高频,墙壁,日常生活,,,,
1079,temperature,142,核心高频,温度,健康医疗,,,,
1080,principle,141,核心高频,原则,抽象概念,认知与抽象名词,,,
1081,acquire,141,核心高频,获得,动作行为,占有与转移,,,
1082,mail,141,核心高频,邮件,交通旅行,,,,
1083,consume,141,核心高频,消耗、耗尽,动作行为,占有与转移,,,
1084,aware,141,核心高频,意识的,情感心理,,,,
1085,owner,141,核心高频,物主,人类与社会,,,,
1086,classroom,141,核心高频,教室,教育学习,,,,
1087,campus,141,核心高频,校园,教育学习,,,,
1088,pain,140,核心高频,痛苦,健康医疗,,,,
1089,aid,140,核心高频,援助,动作行为,身体动作,,,
1090,doubt,139,核心高频,怀疑,情感心理,,,,
1091,ice,139,核心高频,冰、使结冰,自然环境,,,,
1092,cell,139,核心高频,细胞,健康医疗,,,,
1093,confidence,139,核心高频,信任,情感心理,,,,
1094,imagine,139,核心高频,想象,动作行为,心理活动,,,
1095,taste,139,核心高频,口味,动作行为,身体动作,,,
1096,resident,139,核心高频,居民、居住的,人类与社会,,,,
1097,equal,138,核心高频,平等的,抽象概念,性质与评价,,,
1098,senior,138,核心高频,年长的、资格老的,人类与社会,,,,
1099,dinner,138,核心高频,正餐,食物营养,,,,
1100,innovation,137,核心高频,革新、新方法,科学技术,,,,
1101,pick,137,核心高频,挑,动作行为,评价与判断,,,
1102,overall,137,核心高频,全面的、总体上,抽象概念,性质与评价,,,
1103,succeed,137,核心高频,成功、接替,动作行为,占有与转移,succeed to the throne,,
1104,strike,137,核心高频,击打,动作行为,身体动作,,,
1105,examine,137,核心高频,检查,动作行为,评价与判断,,,
1106,instruction,137,核心高频,指令、教导,教育学习,,,,
1107,cancer,136,核心高频,癌症,健康医疗,,,,
1108,judge,136,核心高频,判断,职业工作,,,,
1109,divide,136,核心高频,划分,动作行为,变化趋势,,,
1110,rely,136,核心高频,依靠,动作行为,其他动作,,,
1111,former,136,核心高频,以前的、前者,抽象概念,性质与评价,,,
1112,instance,136,核心高频,例子,抽象概念,认知与抽象名词,,,
1113,release,136,核心高频,释放、解除,动作行为,其他动作,,,
1114,front,136,核心高频,前面的,空间地点,,,,
1115,harm,136,核心高频,伤害,动作行为,使动与影响,,,
1116,partner,136,核心高频,伙伴,人类与社会,,,,
1117,floor,136,核心高频,地面,日常生活,,,,
1118,imply,135,核心高频,暗示,动作行为,其他动作,imply that…；implication n.,,
1119,remove,135,核心高频,移除,动作行为,身体动作,,,
1120,tradition,135,核心高频,传统,文化宗教,,,,
1121,radio,135,核心高频,收音机,科学技术,,,,
1122,vocabulary,135,核心高频,词汇,教育学习,,,,
1123,hunt,135,核心高频,打猎,动作行为,身体动作,,,
1124,clock,135,核心高频,时钟、计时,时间日期,,,,
1125,assume,134,核心高频,假设、揣测,动作行为,身体动作,assume responsibility；assumption n.,,
1126,invite,134,核心高频,邀请,动作行为,社交交互,,,
1127,collect,134,核心高频,收集,动作行为,身体动作,,,
1128,campaign,134,核心高频,运动、战役,政治法律,,,,
1129,native,134,核心高频,本地的、天生的,人类与社会,,,,
1130,interesting,134,核心高频,有趣的,情感心理,,,,
1131,shortage,134,核心高频,不足,抽象概念,认知与抽象名词,,,
1132,reform,133,核心高频,改革,动作行为,变化趋势,,,
1133,corporate,133,核心高频,公司的、法人的,商业经济,,,,
1134,powerful,133,核心高频,强有力的,抽象概念,性质与评价,,,
1135,central,133,核心高频,中心的,空间地点,,,,
1136,efficiency,133,核心高频,效率,抽象概念,认知与抽象名词,,,
1137,gender,133,核心高频,性别,人类与社会,,,,
1138,dangerous,133,核心高频,危险的,健康医疗,,,,
1139,urban,133,核心高频,城市的,空间地点,,,,
1140,emerge,132,核心高频,出现,动作行为,身体动作,emerge as；emerging markets,,
1141,sort,132,核心高频,种类、排序,动作行为,身体动作,,,
1142,enhance,132,核心高频,提高,动作行为,身体动作,enhance efficiency,,
1143,round,132,核心高频,圆的,抽象概念,性质与评价,,,
1144,connect,132,核心高频,连接,动作行为,身体动作,,,
1145,forward,132,核心高频,前进的,空间地点,,,,
1146,handle,132,核心高频,处理,动作行为,身体动作,,,
1147,debt,132,核心高频,债务,商业经济,,,,
1148,diet,132,核心高频,饮食,食物营养,,,,
1149,connection,132,核心高频,联系,抽象概念,认知与抽象名词,,connexion,
1150,color,132,核心高频,颜色,交通旅行,,,colour,
1151,door,132,核心高频,门,日常生活,,,,
1152,hot,131,核心高频,热的,抽象概念,性质与评价,,,
1153,personality,131,核心高频,人格,情感心理,,,,
1154,eventually,131,核心高频,最终,时间日期,,,,
1155,manufacture,131,核心高频,制造、捏造,商业经济,,,,
1156,ocean,131,核心高频,海洋,自然环境,,,,
1157,north,131,核心高频,北、北方的,空间地点,,,,
1158,chemical,131,核心高频,化学的,科学技术,,,,
1159,afford,131,核心高频,承担得起,动作行为,占有与转移,,,
1160,sugar,131,核心高频,糖,食物营养,,,,
1161,apple,131,核心高频,苹果,食物营养,,,,
1162,noise,130,核心高频,噪音,自然环境,,,noize,
1163,employment,130,核心高频,雇用、工作,职业工作,,,,
1164,advocate,130,核心高频,主张、倡议,动作行为,身体动作,advocate doing sth.,,
1165,mass,130,核心高频,大量,抽象概念,数量与程度,,,
1166,contrast,130,核心高频,形成对比,抽象概念,认知与抽象名词,,,
1167,ideal,130,核心高频,理想的、空想的,抽象概念,性质与评价,,,
1168,west,130,核心高频,西、向西,空间地点,,,,
1169,vehicle,130,核心高频,交通工具,交通旅行,,,,
1170,inside,130,核心高频,在里面,空间地点,,,,
1171,respond,129,核心高频,回答、响应,动作行为,社交交互,,,
1172,seven,129,核心高频,七,抽象概念,数量与程度,,,
1173,gift,129,核心高频,礼物,商业经济,,,,
1174,artist,129,核心高频,艺术家,职业工作,,,,
1175,double,129,核心高频,双的、使加倍,抽象概念,数量与程度,,,
1176,novel,129,核心高频,新颖的、长篇小说,文化宗教,,a novel idea,,
1177,page,129,核心高频,页码,教育学习,,,,
1178,park,129,核心高频,停车、公园,自然环境,,,,
1179,largely,128,核心高频,大量地,抽象概念,数量与程度,,,
1180,cent,128,核心高频,分(货币单位),商业经济,,,,
1181,analysis,128,核心高频,分析,抽象概念,认知与抽象名词,,,
1182,outline,128,核心高频,轮廓、提纲,动作行为,身体动作,,,
1183,citizen,128,核心高频,公民,人类与社会,,,,
1184,code,128,核心高频,代码、法典,科学技术,,,,
1185,strength,128,核心高频,力量,抽象概念,认知与抽象名词,,,
1186,display,128,核心高频,陈列、显示,动作行为,评价与判断,,,
1187,advanced,128,核心高频,高级的,抽象概念,性质与评价,,,
1188,son,128,核心高频,儿子、孩子,人类与社会,,,,
1189,sun,127,核心高频,太阳,自然环境,,,,
1190,whom,127,核心高频,谁、哪个人,人类与社会,,,,
1191,budget,127,核心高频,预算、做预算,商业经济,,,,
1192,smart,127,核心高频,聪明的,情感心理,,,,
1193,manner,126,核心高频,礼貌、礼仪、方式,情感心理,,,,
1194,explore,126,核心高频,探索,动作行为,评价与判断,,,
1195,estimate,126,核心高频,估计,动作行为,评价与判断,,,
1196,whatever,126,核心高频,无论什么,抽象概念,逻辑与关系,,,
1197,crop,126,核心高频,作物、收成,自然环境,,,,
1198,brand,126,核心高频,品牌,商业经济,,,,
1199,launch,126,核心高频,发射、使船下水,动作行为,使动与影响,,,
1200,agriculture,126,核心高频,农业,科学技术,,,,
1201,scan,126,核心高频,扫描,动作行为,身体动作,,,
1202,regulation,125,核心高频,规定,抽象概念,认知与抽象名词,,,
1203,nurse,125,核心高频,护士、护理,职业工作,,,,
1204,expose,125,核心高频,暴露,动作行为,使动与影响,,,
1205,being,125,核心高频,生物、生存,人类与社会,,,,
1206,truth,125,核心高频,真相,抽象概念,认知与抽象名词,,,
1207,distance,125,核心高频,距离,空间地点,,,,
1208,count,125,核心高频,数数,动作行为,身体动作,,,
1209,hit,125,核心高频,打,动作行为,身体动作,,,
1210,ticket,125,核心高频,票,商业经济,,,,
1211,combine,124,核心高频,结合,动作行为,变化趋势,,,
1212,ban,124,核心高频,禁止,政治法律,,,,
1213,bit,124,核心高频,一点,抽象概念,数量与程度,,,
1214,impossible,124,核心高频,不可能的,抽象概念,性质与评价,,,
1215,nuclear,124,核心高频,原子的,科学技术,,,,
1216,basis,123,核心高频,基础,抽象概念,认知与抽象名词,,,
1217,boost,123,核心高频,往上推、增加,动作行为,身体动作,,,
1218,rain,123,核心高频,雨,自然环境,,,,
1219,reserve,123,核心高频,预留,动作行为,其他动作,,,
1220,dog,123,核心高频,狗,自然环境,,,,
1221,productivity,122,核心高频,生产力,商业经济,,,,
1222,discipline,122,核心高频,纪律,教育学习,,,,
1223,seat,122,核心高频,座位,日常生活,,,,
1224,revolution,122,核心高频,革命、旋转,政治法律,,,,
1225,prize,122,核心高频,奖,商业经济,,,prise,
1226,primary,122,核心高频,初级的、最初的,抽象概念,性质与评价,,,
1227,previous,122,核心高频,先前的,时间日期,,,,
1228,attractive,122,核心高频,吸引人的、动人的,情感心理,,,,
1229,communicate,122,核心高频,传达、交流,动作行为,身体动作,,,
1230,disaster,122,核心高频,灾难,自然环境,,,,
1231,stock,121,核心高频,股票、库存,商业经济,,in stock,,
1232,quick,121,核心高频,迅速的,抽象概念,性质与评价,,,
1233,fly,121,核心高频,飞,动作行为,其他动作,,,
1234,heat,121,核心高频,热,科学技术,,,,
1235,candidate,121,核心高频,候选人,职业工作,,,,
1236,identity,121,核心高频,身份,人类与社会,,,,
1237,repair,121,核心高频,修理、补救,动作行为,评价与判断,,,
1238,eight,121,核心高频,八,时间日期,,,,
1239,tear,121,核心高频,眼泪、撕碎,动作行为,身体动作,,,
1240,web,120,核心高频,网,自然环境,,,,
1241,press,120,核心高频,报刊、新闻界,动作行为,身体动作,the free press,,
1242,original,120,核心高频,最初的,抽象概念,性质与评价,,,
1243,conference,120,核心高频,会议,政治法律,,,,
1244,spot,119,核心高频,发现、污点,空间地点,,,,
1245,signal,119,核心高频,信号,动作行为,社交交互,,,
1246,generate,119,核心高频,产生、引起,动作行为,其他动作,generate income / ideas,,
1247,expectation,119,核心高频,预期,情感心理,,,,
1248,recession,119,核心高频,经济衰退、退后,商业经济,,,,
1249,clothe,119,核心高频,给穿衣,动作行为,身体动作,,,
1250,facility,119,核心高频,灵巧、天资,科学技术,,,,
1251,directly,118,核心高频,直接地,抽象概念,逻辑与关系,,,
1252,ourselves,118,核心高频,我们自己、我们亲自,人类与社会,,,,
1253,bus,118,核心高频,公车,交通旅行,,,,
1254,refuse,118,核心高频,拒绝,动作行为,评价与判断,household refuse,,
1255,burn,118,核心高频,燃烧,动作行为,其他动作,,,
1256,decrease,118,核心高频,减少,动作行为,变化趋势,,,
1257,fat,118,核心高频,脂肪,食物营养,,,,
1258,table,118,核心高频,桌子、表格,日常生活,,,,
1259,sample,118,核心高频,样品,教育学习,,,,
1260,gold,118,核心高频,金子,商业经济,,,,
1261,obtain,117,核心高频,获得,动作行为,占有与转移,obtain information,,
1262,ahead,117,核心高频,在…前面,空间地点,,,,
1263,domestic,117,核心高频,家庭的,日常生活,,,,
1264,airport,117,核心高频,机场,交通旅行,,,,
1265,obesity,117,核心高频,肥胖,健康医疗,,,,
1266,guest,117,核心高频,客人,人类与社会,,,,
1267,threaten,116,核心高频,威胁,动作行为,社交交互,,,
1268,fair,116,核心高频,公平的,抽象概念,性质与评价,,,
1269,marry,116,核心高频,结婚,动作行为,其他动作,,,
1270,historical,116,核心高频,历史的,时间日期,,,,
1271,formal,116,核心高频,正式的、形式的,抽象概念,性质与评价,,,
1272,criminal,116,核心高频,犯罪活动、罪犯,政治法律,,,,
1273,familiar,116,核心高频,熟悉的,情感心理,,,,
1274,friendly,115,核心高频,友好的,情感心理,,,,
1275,planet,115,核心高频,行星,自然环境,,,,
1276,strange,115,核心高频,奇怪的,抽象概念,性质与评价,,,
1277,useful,115,核心高频,有用的,抽象概念,性质与评价,,,
1278,perfect,115,核心高频,完美的,抽象概念,性质与评价,,,
1279,genetic,114,核心高频,基因的,科学技术,,,,
1280,competitive,114,核心高频,竞争的,情感心理,,,,
1281,vast,114,核心高频,巨大的、大量的,抽象概念,数量与程度,,,
1282,series,114,核心高频,系列,抽象概念,认知与抽象名词,,,
1283,deliver,114,核心高频,传递、传输,动作行为,其他动作,,,
1284,equipment,114,核心高频,设备,科学技术,,,,
1285,visitor,114,核心高频,访问者,交通旅行,,,,
1286,revenue,113,核心高频,财政收入,商业经济,,,,
1287,sector,113,核心高频,部分、扇区,抽象概念,认知与抽象名词,,,
1288,inform,113,核心高频,通知、告诉,动作行为,社交交互,,,
1289,twice,113,核心高频,两次,时间日期,,,,
1290,thank,113,核心高频,感谢,动作行为,社交交互,,,
1291,illness,113,核心高频,疾病,健康医疗,,,,
1292,altogether,113,核心高频,总共、完全地,抽象概念,数量与程度,,,
1293,welfare,113,核心高频,福利,商业经济,,,,
1294,blood,113,核心高频,血,人类与社会,,,,
1295,calorie,113,核心高频,卡路里,食物营养,,,,
1296,herself,113,核心高频,她自己、她亲自,人类与社会,,,,
1297,intelligent,112,核心高频,聪明的,情感心理,,,,
1298,cite,112,核心高频,引用,动作行为,身体动作,,,
1299,guide,112,核心高频,指引、指导,动作行为,社交交互,,,
1300,household,112,核心高频,户、家庭的,人类与社会,,,,
1301,pupil,112,核心高频,学生、瞳孔,教育学习,,,,
1302,insurance,111,核心高频,保险,商业经济,,,,
1303,criticism,111,核心高频,批评,情感心理,,,,
1304,exchange,111,核心高频,交换,商业经济,,,,
1305,ship,111,核心高频,船舶、装运,交通旅行,,,,
1306,label,110,核心高频,标签、加标签于,日常生活,,,,
1307,differ,110,核心高频,与……不同,动作行为,其他动作,,,
1308,commit,110,核心高频,把…交托给、犯（罪）,动作行为,身体动作,,,
1309,admit,110,核心高频,承认,动作行为,其他动作,,,
1310,objective,110,核心高频,客观的、目的,抽象概念,认知与抽象名词,objective analysis,,
1311,contribution,110,核心高频,贡献,文化宗教,,,,
1312,context,110,核心高频,上下文、环境,抽象概念,认知与抽象名词,,,
1313,complain,110,核心高频,抱怨,动作行为,身体动作,,,
1314,fine,110,核心高频,很好,抽象概念,性质与评价,fine distinctions,,
1315,church,109,核心高频,教堂,文化宗教,,,,
1316,yield,109,核心高频,放弃、屈服、收益,动作行为,其他动作,yield results,,
1317,soil,109,核心高频,泥土、国土,自然环境,,,,
1318,rent,109,核心高频,租,商业经济,,,,
1319,video,109,核心高频,录像,科学技术,,,,
1320,brother,109,核心高频,兄弟,人类与社会,,,,
1321,capital,108,核心高频,首都、大写字母,商业经济,,human capital,,
1322,circumstance,108,核心高频,情况,抽象概念,认知与抽象名词,,,
1323,illustrate,108,核心高频,说明、加插图,动作行为,身体动作,illustrate the point,,
1324,target,108,核心高频,目标,动作行为,其他动作,,,
1325,pretty,108,核心高频,漂亮的,情感心理,,,,
1326,active,108,核心高频,活跃的、积极的,抽象概念,性质与评价,,,
1327,schedule,108,核心高频,日程,时间日期,,,,
1328,window,108,核心高频,窗户,日常生活,,,,
1329,alter,107,核心高频,改变,动作行为,变化趋势,,,
1330,sensitive,107,核心高频,敏感的、易受伤害的,情感心理,,,,
1331,gather,107,核心高频,聚集、搜集,动作行为,变化趋势,,,
1332,requirement,106,核心高频,要求,抽象概念,认知与抽象名词,,,
1333,critic,106,核心高频,批评者,职业工作,,,,
1334,property,106,核心高频,财产、性质、特性,商业经济,,,,
1335,eliminate,106,核心高频,排除、淘汰,动作行为,使动与影响,eliminate the possibility,,
1336,artificial,106,核心高频,人造的,科学技术,,,,
1337,engineer,106,核心高频,工程师,职业工作,,,,
1338,neither,106,核心高频,两个都不,抽象概念,逻辑与关系,,,
1339,busy,106,核心高频,忙碌的,抽象概念,性质与评价,,,
1340,touch,106,核心高频,触摸、感动,动作行为,身体动作,,,
1341,appearance,106,核心高频,出现、外表,抽象概念,认知与抽象名词,,,
1342,engineering,106,核心高频,工程学,科学技术,,,,
1343,teenager,106,核心高频,青少年,人类与社会,,,,
